UDI,Date,System,Control,Product ID,Type,Air temperature (K),Process temperature (K),Rotational speed (rpm),Torque (Nm),Tool wear (min),Diagnostic
1,15/04/2014 11:56,0,C,M14860,M,,,,42.8,0,No failure
2,12/04/2014 16:09,0,A,L47181,L,298.2,308.7,1408,,,No failure
3,13/04/2014 01:13,0,A,L47182,L,298.1,308.5,1498,,,No failure
4,24/07/2014 20:35,0,B,L47183,L,,,1433,39.5,,No failure
5,22/07/2014 01:31,0,C,L47184,L,,,,40,9,No failure
6,26/07/2014 15:23,0,B,M14865,M,,,1425,41.9,,No failure
7,26/07/2014 11:03,0,C,L47186,L,,,,42.4,14,No failure
8,22/07/2014 01:24,0,B,L47187,L,,,1527,40.2,,No failure
9,31/10/2014 16:33,0,C,M14868,M,,,,28.6,18,No failure
10,29/10/2014 10:44,0,C,M14869,M,,,,28,21,No failure
11,30/10/2014 02:26,0,C,H29424,H,,,,23.9,24,No failure
12,29/01/2015 09:46,0,B,H29425,H,,,1423,44.3,,No failure
13,26/01/2015 23:47,0,B,M14872,M,,,1339,51.1,,No failure
14,27/01/2015 01:28,0,B,M14873,M,,,1742,30,,No failure
15,28/01/2015 21:16,0,B,L47194,L,,,2035,19.6,,No failure
16,19/05/2015 01:38,0,A,L47195,L,298.6,309.2,1542,,,No failure
17,21/05/2015 11:44,0,A,M14876,M,298.6,309.2,1311,,,No failure
18,21/05/2015 14:21,0,A,M14877,M,298.7,309.2,1410,,,No failure
19,19/05/2015 02:53,0,A,H29432,H,298.8,309.2,1306,,,No failure
20,19/05/2015 07:14,0,C,M14879,M,,,,32.5,55,No failure
21,07/09/2015 14:49,0,A,H29434,H,298.9,309.3,1375,,,No failure
22,17/12/2015 17:09,0,C,L47201,L,,,,44.8,63,No failure
23,16/12/2015 19:45,0,A,M14882,M,298.9,309.3,1581,,,No failure
24,31/03/2016 14:36,0,B,L47203,L,,,1758,25.7,,No failure
25,02/04/2016 18:11,0,A,M14884,M,299,309.4,1561,,,No failure
26,03/04/2016 18:18,0,C,L47205,L,,,,23.3,73,No failure
27,01/04/2016 19:25,0,C,L47206,L,,,,39,75,No failure
28,29/06/2016 06:11,0,B,H29441,H,,,1811,24.6,,No failure
29,02/07/2016 06:33,0,B,L47208,L,,,1439,44.2,,No failure
30,30/06/2016 23:40,0,C,L47209,L,,,,30.1,84,No failure
31,10/09/2016 22:05,0,C,M14890,M,,,,48.2,86,No failure
32,09/09/2016 23:06,0,A,L47211,L,299,309.4,1798,,,No failure
33,11/09/2016 07:38,0,A,L47212,L,299,309.4,1419,,,No failure
34,08/09/2016 16:44,0,C,L47213,L,,,,32.5,93,No failure
35,27/12/2016 12:23,0,C,M14894,M,,,,34.7,95,No failure
36,27/12/2016 23:41,0,C,M14895,M,,,,48.6,98,No failure
37,30/12/2016 18:27,0,A,M14896,M,298.9,309.2,1581,,,No failure
38,27/12/2016 21:57,0,A,L47217,L,298.8,309.1,1439,,,No failure
39,13/04/2017 16:14,0,B,H29452,H,,,1379,50.7,,No failure
40,13/04/2017 22:34,0,C,L47219,L,,,,52.5,111,No failure
41,11/04/2017 20:19,0,B,L47220,L,,,1362,45.4,,No failure
42,14/04/2017 09:19,0,B,L47221,L,,,1368,50.8,,No failure
43,12/04/2017 05:05,0,A,M14902,M,298.8,309.1,1368,,,No failure
44,21/07/2017 14:25,0,B,H29457,H,,,1372,48.5,,No failure
45,22/07/2017 03:27,0,A,M14904,M,298.8,309.1,1472,,,No failure
46,24/07/2017 12:06,0,A,L47225,L,298.8,309.1,1489,,,No failure
47,22/07/2017 11:25,0,A,M14906,M,298.7,309,1843,,,No failure
48,22/07/2017 11:25,0,B,L47227,L,,,1418,46.3,,No failure
49,03/10/2017 15:06,0,C,H29462,H,,,,53.9,135,No failure
50,10/12/2017 01:44,0,A,M14909,M,298.9,309.2,1412,,,No failure
51,08/12/2017 19:31,0,B,L47230,L,,,2861,4.6,,Power Failure
52,13/12/2017 07:05,0,A,L47231,L,298.9,309.1,1383,,,No failure
53,26/02/2018 23:31,0,B,H29466,H,,,1497,43.8,,No failure
54,27/02/2018 03:36,0,C,L47233,L,,,,35.1,152,No failure
55,03/06/2018 00:22,0,A,L47234,L,298.7,309,1691,,,No failure
56,21/08/2018 02:47,0,C,L47235,L,,,,40.7,156,No failure
57,18/08/2018 05:41,0,B,L47236,L,,,1477,42.4,,No failure
58,01/11/2018 14:47,0,B,L47237,L,,,1513,40.3,,No failure
59,02/11/2018 17:23,0,C,M14918,M,,,,29.5,162,No failure
60,31/10/2018 18:51,0,C,L47239,L,,,,54.4,165,No failure
61,25/02/2019 22:53,0,B,L47240,L,,,1393,52.6,,No failure
62,26/02/2019 05:03,0,B,M14921,M,,,1592,38.2,,No failure
63,26/02/2019 16:53,0,C,L47242,L,,,,22.9,172,No failure
64,27/02/2019 18:44,0,C,M14923,M,,,,25.9,174,No failure
65,02/03/2019 14:44,0,C,L47244,L,,,,38.6,177,No failure
66,25/06/2019 11:33,0,C,L47245,L,,,,45.1,179,No failure
67,23/06/2019 04:32,0,B,M14926,M,,,1679,28.7,,No failure
68,25/06/2019 03:26,0,C,H29481,H,,,,44.1,184,No failure
69,27/06/2019 17:33,0,A,L47248,L,298.8,308.9,1527,,,No failure
70,23/06/2019 13:25,0,C,L47249,L,,,,65.7,191,Overstrain Failure
71,12/09/2019 06:39,0,B,M14930,M,,,1924,22.6,,No failure
72,23/11/2019 06:14,0,C,L47251,L,,,,45.5,196,No failure
73,11/03/2020 15:25,0,A,L47252,L,298.9,309.1,1369,,,No failure
74,14/03/2020 03:47,0,B,L47253,L,,,1592,35,,No failure
75,08/07/2020 10:22,0,B,L47254,L,,,1601,32.3,,No failure
76,05/11/2020 06:30,0,A,L47255,L,298.8,308.9,1379,,,No failure
77,10/11/2020 05:23,0,A,L47256,L,298.8,308.9,1461,,,No failure
78,13/02/2021 01:10,0,C,L47257,L,,,,41.3,208,Tool Wear Failure
79,19/03/2014 10:16,1,B,L47258,L,,,1398,51.5,,No failure
80,13/07/2014 20:05,1,A,L47259,L,298.8,308.9,1402,,,No failure
81,10/07/2014 17:57,1,C,H29494,H,,,,49.9,4,No failure
82,31/10/2014 13:17,1,A,L47261,L,298.9,308.9,1450,,,No failure
83,04/11/2014 11:11,1,C,L47262,L,,,,40.8,11,No failure
84,01/11/2014 00:58,1,B,L47263,L,,,1469,40.1,,No failure
85,04/11/2014 15:23,1,A,L47264,L,298.9,308.9,1422,,,No failure
86,02/11/2014 23:33,1,B,M14945,M,,,1804,26.8,,No failure
87,04/01/2015 06:35,1,B,H29500,H,,,1436,43.9,,No failure
88,07/01/2015 07:44,1,B,L47267,L,,,1544,31.8,,No failure
89,07/01/2015 18:31,1,C,M14948,M,,,,45.2,27,No failure
90,04/05/2015 20:15,1,B,M14949,M,,,1487,39.5,,No failure
91,03/05/2015 03:10,1,B,L47270,L,,,1753,25.8,,No failure
