udi,product_id,type,air_temperature_k,process_temperature_k,rotational_speed_rpm,torque_nm,tool_wear_min,twf,hdf,pwf,osf,rnf,machine_failure,cons_number
1889,M16748,M,297.8,307.4,1902,24.3,129,0,0,0,0,0,0,16748
4859,L52038,L,303.7,312.3,1349,51.0,105,0,0,0,0,0,0,52038
8991,L56170,L,297.2,307.9,1493,38.4,146,0,0,0,0,0,0,56170
4902,M19761,M,303.6,312.3,1630,32.4,223,0,0,0,0,0,0,19761
7958,H37371,H,300.9,311.9,2140,16.5,43,0,0,0,0,0,0,37371
7857,L55036,L,300.4,311.8,1433,42.2,14,0,0,0,0,0,0,55036
865,M15724,M,296.0,306.7,2044,22.3,48,0,0,0,0,0,0,15724
5673,H35086,H,302.1,311.6,1701,26.2,46,0,0,0,0,0,0,35086
6155,M21014,M,301.0,310.9,1765,24.2,179,0,0,0,0,0,0,21014
5061,L52240,L,304.0,312.8,1542,42.7,198,0,0,0,0,0,0,52240
8239,L55418,L,299.1,310.4,1519,45.3,92,0,0,0,0,0,0,55418
4940,L52119,L,303.6,312.5,1286,62.4,101,0,0,0,0,0,0,52119
40,L47219,L,298.8,309.1,1350,52.5,111,0,0,0,0,0,0,47219
4654,M19513,M,303.1,311.1,1594,35.5,13,0,0,0,0,0,0,19513
4188,M19047,M,302.2,310.7,1601,33.0,166,0,0,0,0,0,0,19047
2232,L49411,L,299.4,308.6,1415,56.4,175,0,0,0,0,0,0,49411
6529,L53708,L,301.2,310.5,1546,40.0,55,0,0,0,0,0,0,53708
9930,H39343,H,298.4,308.4,1479,39.2,58,0,0,0,0,0,0,39343
7082,L54261,L,300.7,310.4,1366,52.6,205,0,0,0,0,0,0,54261
926,H30339,H,295.6,306.1,1623,30.9,210,0,0,0,0,0,0,30339
2916,L50095,L,300.5,309.5,1255,62.1,138,0,0,0,0,0,0,50095
9228,L56407,L,298.0,309.1,1473,44.3,124,0,0,0,0,0,0,56407
8943,L56122,L,297.3,308.3,2188,17.0,32,0,0,0,0,0,0,56122
1117,L48296,L,296.4,307.3,1487,37.5,83,0,0,0,0,0,0,48296
9911,L57090,L,298.6,309.0,1469,46.0,4,0,0,0,0,0,0,57090
1534,M16393,M,298.0,308.9,1339,51.4,68,0,0,0,0,0,0,16393
8512,L55691,L,298.4,309.7,1457,44.2,175,0,0,0,0,0,0,55691
3397,M18256,M,301.4,310.6,1459,35.0,87,0,0,0,0,0,0,18256
621,M15480,M,298.3,310.1,1389,49.6,75,0,0,0,0,0,0,15480
5389,M20248,M,302.8,312.3,1432,49.0,218,0,0,0,0,0,0,20248
58,L47237,L,298.8,309.1,1513,40.3,160,0,0,0,0,0,0,47237
3411,L50590,L,301.2,310.3,1451,39.7,123,0,0,0,0,0,0,50590
3401,H32814,H,301.4,310.7,1536,44.4,96,0,0,0,0,0,0,32814
5221,L52400,L,303.8,313.0,1633,32.9,207,0,0,0,0,0,0,52400
9909,L57088,L,298.6,309.0,1456,47.7,0,0,0,0,0,0,0,57088
9433,L56612,L,298.0,308.7,1619,40.1,45,0,0,0,0,0,0,56612
9977,L57156,L,298.6,308.2,1705,26.3,177,0,0,0,0,0,0,57156
4245,L51424,L,302.4,310.9,1469,39.6,86,0,0,0,0,0,0,51424
2932,L50111,L,300.8,309.7,1373,45.4,179,0,0,0,0,0,0,50111
6437,L53616,L,300.4,310.0,1769,26.1,38,0,0,0,0,0,0,53616
4221,M19080,M,301.9,310.6,1260,65.9,29,0,0,0,0,0,0,19080
1626,L48805,L,297.9,307.8,1365,46.9,73,0,0,0,0,0,0,48805
7912,L55091,L,300.7,312.1,1512,36.9,153,0,0,0,0,0,0,55091
7767,L54946,L,300.3,311.4,1318,52.7,13,0,0,0,0,0,0,54946
1106,M15965,M,296.6,307.5,1734,27.0,50,0,0,0,0,0,0,15965
9064,L56243,L,297.2,308.3,1419,39.7,115,0,0,0,0,0,0,56243
5473,L52652,L,302.8,312.3,1386,57.8,172,0,0,0,0,0,0,52652
9871,H39284,H,299.0,309.9,1884,25.6,100,0,0,0,0,0,0,39284
2025,M16884,M,298.7,308.6,1722,24.7,64,0,0,0,0,0,0,16884
2737,M17596,M,299.7,309.1,1576,36.4,149,0,0,0,0,0,0,17596
7326,L54505,L,299.9,310.4,1419,45.7,178,0,0,0,0,0,0,54505
3665,M18524,M,302.3,311.7,1685,30.8,130,0,0,0,0,0,0,18524
2516,L49695,L,298.8,308.5,1490,35.0,29,0,0,0,0,0,0,49695
4471,L51650,L,302.7,310.6,1564,34.3,0,0,0,0,0,0,0,51650
4478,L51657,L,302.6,310.3,1647,34.2,14,0,0,0,0,0,0,51657
100,L47279,L,298.8,308.8,1523,44.4,55,0,0,0,0,0,0,47279
6734,M21593,M,301.7,311.0,1311,46.8,136,0,0,0,0,0,0,21593
1250,L48429,L,297.3,308.7,1467,36.8,216,0,0,0,0,0,0,48429
6191,L53370,L,300.9,310.9,1749,26.4,40,0,0,0,0,0,0,53370
5837,L53016,L,301.2,311.1,1550,39.7,20,0,0,0,0,0,0,53016
5274,L52453,L,303.6,313.1,1395,44.1,120,0,0,0,0,0,0,52453
4136,M18995,M,301.7,310.3,1787,26.7,33,0,0,0,0,0,0,18995
7131,L54310,L,300.6,309.9,1428,48.8,109,0,0,0,0,0,0,54310
4117,M18976,M,302.0,310.5,1381,58.4,201,0,0,0,0,0,0,18976
5842,M20701,M,301.3,311.1,1678,30.7,34,0,0,0,0,0,0,20701
4990,L52169,L,303.9,313.2,1499,37.4,7,0,0,0,0,0,0,52169
5222,L52401,L,303.9,313.0,1626,31.4,209,0,0,0,0,0,0,52401
528,M15387,M,297.6,309.6,1592,35.8,57,0,0,0,0,0,0,15387
1378,L48557,L,298.8,310.2,1461,46.7,105,0,0,0,0,0,0,48557
8480,L55659,L,298.6,309.7,1627,33.4,99,0,0,0,0,0,0,55659
9533,L56712,L,299.2,310.5,1384,48.7,93,0,0,0,0,0,0,56712
2310,L49489,L,299.1,308.6,1611,31.4,161,0,0,0,0,0,0,49489
4644,L51823,L,303.2,311.4,1324,54.2,228,0,1,0,1,0,1,51823
4212,L51391,L,302.1,310.7,1314,52.8,8,0,1,0,0,0,1,51391
3567,L50746,L,301.8,310.6,1295,62.3,91,0,0,0,0,0,0,50746
9927,M24786,M,298.5,308.6,1897,20.2,50,0,0,0,0,0,0,24786
1900,L49079,L,297.8,307.5,1388,40.0,159,0,0,0,0,0,0,49079
8579,L55758,L,297.5,308.2,1489,40.7,141,0,0,0,0,0,0,55758
4895,H34308,H,303.8,312.5,1447,46.6,198,0,0,0,0,0,0,34308
5030,M19889,M,303.9,313.2,1624,39.8,107,0,0,0,0,0,0,19889
9209,L56388,L,298.0,308.9,1406,40.9,77,0,0,0,0,0,0,56388
1424,L48603,L,298.7,309.8,1539,33.4,2,0,0,0,0,0,0,48603
231,L47410,L,298.3,308.6,1570,34.8,175,0,0,0,0,0,0,47410
9388,H38801,H,297.4,307.9,1390,52.0,131,0,0,0,0,0,0,38801
6063,M20922,M,301.1,311.2,1407,53.0,165,0,0,0,0,0,0,20922
5037,L52216,L,304.0,313.2,1615,37.8,127,0,0,0,0,0,0,52216
5915,L53094,L,300.7,310.3,1592,36.0,14,0,0,0,0,0,0,53094
3658,L50837,L,302.1,311.5,1477,45.4,111,0,0,0,0,0,0,50837
3291,L50470,L,301.2,310.2,1385,42.3,42,0,0,0,0,0,0,50470
94,L47273,L,299.1,309.0,1450,43.0,40,0,0,0,0,0,0,47273
3849,L51028,L,302.3,310.9,1720,28.1,178,0,0,0,0,0,0,51028
394,M15253,M,297.5,308.4,1350,52.2,157,0,0,0,0,0,0,15253
1077,L48256,L,296.9,307.7,1653,35.9,177,0,0,0,0,0,0,48256
6080,M20939,M,300.8,310.7,1371,44.7,205,0,0,0,0,0,0,20939
8503,H37916,H,298.6,309.8,1279,55.9,152,0,0,0,0,0,0,37916
6652,M21511,M,301.5,310.4,1276,55.6,158,0,0,0,0,0,0,21511
603,L47782,L,297.9,309.8,2000,21.3,29,0,0,0,0,0,0,47782
3174,L50353,L,300.3,309.6,1624,32.6,175,0,0,0,0,0,0,50353
4010,L51189,L,302.2,311.2,1630,36.0,169,0,0,0,0,0,0,51189
7825,L55004,L,299.9,311.3,1535,38.1,160,0,0,0,0,0,0,55004
2551,L49730,L,299.4,309.3,1366,48.4,116,0,0,0,0,0,0,49730
2840,M17699,M,300.4,309.4,1362,42.1,182,0,0,0,0,0,0,17699
458,L47637,L,297.4,308.6,1276,53.6,103,0,0,0,0,0,0,47637
5782,M20641,M,301.7,311.1,1618,36.7,115,0,0,0,0,0,0,20641
9796,L56975,L,298.5,309.3,1623,33.1,109,0,0,0,0,0,0,56975
5861,L53040,L,301.3,310.9,1566,33.1,82,0,0,0,0,0,0,53040
6304,H35717,H,301.2,310.6,1457,50.5,114,0,0,0,0,0,0,35717
4953,M19812,M,303.8,312.7,1374,53.6,136,0,0,0,0,0,0,19812
162,L47341,L,298.3,308.1,1412,52.3,218,0,0,0,1,0,1,47341
9371,H38784,H,297.7,308.4,1418,51.9,77,0,0,0,0,0,0,38784
1666,H31079,H,298.2,307.9,1491,39.7,181,0,0,0,0,0,0,31079
1529,L48708,L,298.1,309.0,1559,34.0,54,0,0,0,0,0,0,48708
9622,M24481,M,299.0,310.0,2049,19.5,111,0,0,0,0,0,0,24481
2579,L49758,L,299.4,309.3,1391,46.6,185,0,0,0,0,0,0,49758
1846,L49025,L,297.7,307.2,1444,40.0,17,0,0,0,0,0,0,49025
1175,M16034,M,297.1,308.1,1352,44.4,0,0,0,0,0,0,0,16034
5922,L53101,L,300.5,310.3,1336,57.1,29,0,0,0,0,0,0,53101
9385,M24244,M,297.6,308.1,1379,57.4,122,0,0,0,0,0,0,24244
1206,L48385,L,296.8,308.0,1371,54.5,86,0,0,0,0,0,0,48385
8129,L55308,L,300.1,311.4,1629,31.3,41,0,0,0,0,0,0,55308
6679,M21538,M,301.5,310.7,1336,65.6,0,0,0,1,0,0,1,21538
2199,M17058,M,299.7,308.9,1478,41.0,87,0,0,0,0,0,0,17058
4947,M19806,M,303.7,312.7,1669,31.7,120,0,0,0,0,0,0,19806
8023,L55202,L,300.9,312.0,1441,43.8,210,0,0,0,0,0,0,55202
1418,L48597,L,298.7,309.9,1541,38.5,208,0,0,0,0,0,0,48597
5656,L52835,L,302.3,311.5,1387,47.3,2,0,0,0,0,0,0,52835
6212,L53391,L,300.8,310.6,1360,48.8,91,0,0,0,0,0,0,53391
7701,M22560,M,300.7,311.6,1348,62.5,36,0,0,0,0,0,0,22560
9107,L56286,L,297.4,308.3,1854,21.8,24,0,0,0,0,0,0,56286
5318,L52497,L,303.6,312.7,1637,32.9,19,0,0,0,0,0,0,52497
1926,L49105,L,297.9,307.7,1537,37.7,15,0,0,0,0,0,0,49105
6456,L53635,L,300.7,310.1,1565,40.2,81,0,0,0,0,0,0,53635
1516,M16375,M,298.2,308.9,1614,35.5,15,0,0,0,0,0,0,16375
3315,L50494,L,301.4,310.5,1489,43.5,98,0,0,0,0,0,0,50494
8630,H38043,H,297.5,308.5,1557,39.1,47,0,0,0,0,0,0,38043
9408,L56587,L,297.8,308.3,1435,50.1,189,0,0,0,0,0,0,56587
2670,H32083,H,299.7,309.3,1494,37.8,214,0,0,0,0,0,0,32083
2528,L49707,L,298.8,308.5,1450,50.8,57,0,0,0,0,0,0,49707
1602,L48781,L,297.8,307.8,1597,38.2,11,0,0,0,0,0,0,48781
4231,L51410,L,302.2,310.8,1673,32.9,52,0,0,0,0,0,0,51410
7985,L55164,L,301.0,312.3,1550,34.9,111,0,0,0,0,0,0,55164
574,L47753,L,297.9,309.9,1472,45.0,183,0,0,0,0,0,0,47753
9870,L57049,L,298.9,309.9,1590,31.3,98,0,0,0,0,0,0,57049
8381,L55560,L,298.9,310.0,1776,25.7,51,0,0,0,0,0,0,55560
27,L47206,L,299.1,309.5,1512,39.0,75,0,0,0,0,0,0,47206
8833,L56012,L,297.4,308.8,1651,34.1,163,0,0,0,0,0,0,56012
148,L47327,L,298.4,308.4,1515,40.1,179,0,0,0,0,0,0,47327
2738,M17597,M,299.7,309.1,1508,41.2,152,0,0,0,0,0,0,17597
2061,L49240,L,299.6,309.5,1803,27.7,159,0,0,0,0,0,0,49240
1494,L48673,L,298.0,308.8,1496,44.9,179,0,0,0,0,0,0,48673
3510,L50689,L,301.8,311.0,1771,27.2,162,0,0,0,0,0,0,50689
8590,M23449,M,297.3,307.8,1538,48.0,171,0,0,0,0,0,0,23449
6609,M21468,M,301.5,310.4,1593,36.8,50,0,0,0,0,0,0,21468
5191,L52370,L,304.1,313.2,1452,48.0,126,0,0,0,0,0,0,52370
9216,L56395,L,297.9,308.8,1681,31.7,94,0,0,0,0,0,0,56395
6792,L53971,L,301.2,310.7,1551,41.2,82,0,0,0,0,0,0,53971
8823,L56002,L,297.4,308.8,1462,49.7,132,0,0,0,0,0,0,56002
7757,L54936,L,300.5,311.8,1368,57.9,191,0,0,0,1,0,1,54936
3706,M18565,M,302.0,311.3,1725,27.7,23,0,0,0,0,0,0,18565
7041,L54220,L,300.7,310.6,1720,30.3,96,0,0,0,0,0,0,54220
2210,L49389,L,299.8,309.3,1386,49.4,116,0,0,0,0,0,0,49389
6408,M21267,M,300.3,309.9,1611,29.0,177,0,0,0,0,0,0,21267
2501,L49680,L,299.1,308.9,1617,32.3,223,0,0,0,0,0,0,49680
9282,L56461,L,298.2,308.9,1336,45.0,66,0,0,0,0,0,0,56461
6142,L53321,L,300.8,310.8,1486,45.7,146,0,0,0,0,0,0,53321
1724,L48903,L,298.2,307.8,2029,19.9,96,0,0,0,0,0,0,48903
7058,L54237,L,300.8,310.6,1666,36.2,144,0,0,0,0,0,0,54237
2366,L49545,L,299.4,308.5,1845,22.9,76,0,0,0,0,0,0,49545
2349,L49528,L,299.2,308.4,1436,41.8,28,0,0,0,0,0,0,49528
3801,M18660,M,302.1,310.9,1916,23.1,51,0,0,0,0,0,0,18660
4134,L51313,L,301.8,310.3,1765,27.3,29,0,0,0,0,0,0,51313
2388,M17247,M,299.2,308.5,1474,47.2,132,0,0,0,0,0,0,17247
7285,M22144,M,300.1,310.3,1345,57.1,71,0,0,0,0,0,0,22144
7338,L54517,L,299.9,310.5,1539,32.8,213,0,0,0,0,0,0,54517
696,L47875,L,297.6,309.0,1487,45.4,64,0,0,0,0,0,0,47875
6894,L54073,L,301.0,311.6,1470,43.4,133,0,0,0,0,0,0,54073
6215,L53394,L,300.9,310.7,1392,44.2,97,0,0,0,0,0,0,53394
6217,L53396,L,301.1,310.8,1724,27.5,101,0,0,0,0,0,0,53396
5008,L52187,L,303.8,312.9,1442,48.3,52,0,0,0,0,0,0,52187
7158,L54337,L,300.2,310.0,1486,40.1,182,0,0,0,0,0,0,54337
7389,M22248,M,299.8,310.6,1694,31.3,121,0,0,0,0,0,0,22248
5310,M20169,M,303.9,313.2,1422,48.0,215,1,0,0,0,0,1,20169
9431,L56610,L,298.1,308.7,1671,28.8,41,0,0,0,0,0,0,56610
802,L47981,L,296.9,307.8,1285,52.1,100,0,0,0,0,0,0,47981
404,L47583,L,297.3,308.6,1273,59.8,182,0,0,0,0,0,0,47583
9959,M24818,M,298.1,307.8,1525,35.9,132,0,0,0,0,0,0,24818
3897,M18756,M,302.2,311.2,1627,33.2,74,0,0,0,0,0,0,18756
2775,L49954,L,300.1,309.4,1559,39.7,24,0,0,0,0,0,0,49954
311,H29724,H,298.0,308.6,1526,41.8,160,0,0,0,0,0,0,29724
1507,L48686,L,298.0,308.8,1610,33.7,212,0,0,0,0,0,0,48686
5060,L52239,L,303.9,312.8,1419,47.9,196,0,0,0,0,0,0,52239
2305,L49484,L,299.1,308.5,1455,39.8,145,0,0,0,0,0,0,49484
6959,L54138,L,300.6,311.0,1563,40.7,87,0,0,0,0,0,0,54138
2835,L50014,L,300.3,309.1,1368,46.0,171,0,0,0,0,0,0,50014
9331,M24190,M,298.4,309.0,1507,36.1,191,0,0,0,0,0,0,24190
3450,L50629,L,301.7,310.7,1605,33.3,220,0,0,0,0,0,0,50629
8459,L55638,L,298.7,309.9,1753,26.8,40,0,0,0,0,0,0,55638
8973,M23832,M,296.8,307.4,1455,49.9,102,0,0,0,0,0,0,23832
44,H29457,H,298.8,309.2,1372,48.5,120,0,0,0,0,0,0,29457
256,L47435,L,298.0,308.2,1489,40.4,11,0,0,0,0,0,0,47435
6711,L53890,L,301.5,310.7,1323,49.7,79,0,0,0,0,0,0,53890
6519,H35932,H,301.0,310.0,1212,67.9,30,0,0,0,0,0,0,35932
610,L47789,L,298.1,309.9,1629,32.5,45,0,0,0,0,0,0,47789
969,L48148,L,295.9,306.7,1547,40.9,107,0,0,0,0,0,0,48148
9464,M24323,M,298.5,309.3,1552,36.8,133,0,0,0,0,0,0,24323
8903,H38316,H,297.4,308.7,1522,46.3,146,0,0,0,0,0,0,38316
431,L47610,L,297.5,308.6,1596,37.1,30,0,0,0,0,0,0,47610
1590,M16449,M,298.1,308.3,1453,41.5,204,0,0,0,0,0,0,16449
