,excluded_column,imbalanced_approach,imbalanced_input,scaler,learning_rate_init,alpha,batch_size,hidden_layer_sizes,activation,solver,prediction_threshold,duration,f1_score
0,none,resampling,SMOTETomek,power,0.001,0.001,16,"(16, 8)",relu,adam,0.89,16.0,66.0
1,none,resampling,SMOTETomek,power,0.001,0.001,16,"(16, 8)",relu,sgd,0.89,44.0,66.0
2,none,resampling,SMOTETomek,power,0.001,0.001,16,"(16, 8)",relu,lbfgs,0.89,8.0,59.0
3,none,resampling,SMOTETomek,power,0.001,0.001,16,"(16, 8)",tanh,adam,0.86,44.0,64.0
4,none,resampling,SMOTETomek,power,0.001,0.001,16,"(16, 8)",tanh,sgd,0.89,30.0,62.0
5,none,resampling,SMOTETomek,power,0.001,0.001,16,"(16, 8)",tanh,lbfgs,0.89,15.0,63.0
6,none,resampling,SMOTETomek,power,0.001,0.001,64,"(16, 8)",relu,adam,0.88,9.0,62.0
7,none,resampling,SMOTETomek,power,0.001,0.001,64,"(16, 8)",relu,sgd,0.89,15.0,65.0
8,none,resampling,SMOTETomek,power,0.001,0.001,64,"(16, 8)",relu,lbfgs,0.89,9.0,59.0
9,none,resampling,SMOTETomek,power,0.001,0.001,64,"(16, 8)",tanh,adam,0.89,9.0,64.0
10,none,resampling,SMOTETomek,power,0.001,0.001,64,"(16, 8)",tanh,sgd,0.89,13.0,58.0
11,none,resampling,SMOTETomek,power,0.001,0.001,64,"(16, 8)",tanh,lbfgs,0.89,16.0,63.0
12,none,resampling,SMOTETomek,power,0.001,0.001,256,"(16, 8)",relu,adam,0.89,5.0,68.0
13,none,resampling,SMOTETomek,power,0.001,0.001,256,"(16, 8)",relu,sgd,0.89,5.0,57.0
14,none,resampling,SMOTETomek,power,0.001,0.001,256,"(16, 8)",relu,lbfgs,0.89,7.0,59.0
15,none,resampling,SMOTETomek,power,0.001,0.001,256,"(16, 8)",tanh,adam,0.89,3.0,64.0
16,none,resampling,SMOTETomek,power,0.001,0.001,256,"(16, 8)",tanh,sgd,0.87,5.0,54.0
17,none,resampling,SMOTETomek,power,0.001,0.001,256,"(16, 8)",tanh,lbfgs,0.89,14.0,63.0
18,none,resampling,SMOTETomek,power,0.01,0.001,16,"(16, 8)",relu,adam,0.86,11.0,70.0
19,none,resampling,SMOTETomek,power,0.01,0.001,16,"(16, 8)",relu,sgd,0.89,41.0,64.0
20,none,resampling,SMOTETomek,power,0.01,0.001,16,"(16, 8)",relu,lbfgs,0.89,7.0,59.0
21,none,resampling,SMOTETomek,power,0.01,0.001,16,"(16, 8)",tanh,adam,0.88,9.0,61.0
22,none,resampling,SMOTETomek,power,0.01,0.001,16,"(16, 8)",tanh,sgd,0.88,45.0,64.0
23,none,resampling,SMOTETomek,power,0.01,0.001,16,"(16, 8)",tanh,lbfgs,0.89,14.0,63.0
24,none,resampling,SMOTETomek,power,0.01,0.001,64,"(16, 8)",relu,adam,0.89,3.0,68.0
25,none,resampling,SMOTETomek,power,0.01,0.001,64,"(16, 8)",relu,sgd,0.88,12.0,66.0
26,none,resampling,SMOTETomek,power,0.01,0.001,64,"(16, 8)",relu,lbfgs,0.89,7.0,59.0
27,none,resampling,SMOTETomek,power,0.01,0.001,64,"(16, 8)",tanh,adam,0.87,5.0,60.0
28,none,resampling,SMOTETomek,power,0.01,0.001,64,"(16, 8)",tanh,sgd,0.88,9.0,62.0
29,none,resampling,SMOTETomek,power,0.01,0.001,64,"(16, 8)",tanh,lbfgs,0.89,16.0,63.0
30,none,resampling,SMOTETomek,power,0.01,0.001,256,"(16, 8)",relu,adam,0.89,1.0,68.0
31,none,resampling,SMOTETomek,power,0.01,0.001,256,"(16, 8)",relu,sgd,0.87,4.0,62.0
32,none,resampling,SMOTETomek,power,0.01,0.001,256,"(16, 8)",relu,lbfgs,0.89,8.0,59.0
33,none,resampling,SMOTETomek,power,0.01,0.001,256,"(16, 8)",tanh,adam,0.89,3.0,61.0
34,none,resampling,SMOTETomek,power,0.01,0.001,256,"(16, 8)",tanh,sgd,0.89,5.0,60.0
