,excluded_column,imbalanced_approach,imbalanced_input,scaler,best_learning_rate_init,best_alpha,best_batch_size,best_hidden_layer_sizes,best_activation,best_solver,prediction_threshold,duration,f1_score
0,none,resampling,SMOTE,power,0.001,0.001,16,"(128, 64, 32)",relu,adam,0.79,36.0,64.0
1,none,resampling,SMOTE,robust,0.001,0.001,16,"(128, 64, 32)",relu,adam,0.89,42.0,66.0
2,none,resampling,ADASYN,power,0.001,0.001,16,"(128, 64, 32)",relu,adam,0.89,25.0,58.0
3,none,resampling,ADASYN,robust,0.001,0.001,16,"(128, 64, 32)",relu,adam,0.7100000000000001,24.0,67.0
4,none,resampling,SMOTETomek,power,0.001,0.001,16,"(128, 64, 32)",relu,adam,0.8200000000000001,31.0,64.0
5,none,resampling,SMOTETomek,robust,0.001,0.001,16,"(128, 64, 32)",relu,adam,0.89,22.0,65.0
6,type,resampling,SMOTE,power,0.001,0.001,16,"(128, 64, 32)",relu,adam,0.89,25.0,65.0
7,type,resampling,SMOTE,robust,0.001,0.001,16,"(128, 64, 32)",relu,adam,0.89,27.0,70.0
8,type,resampling,ADASYN,power,0.001,0.001,16,"(128, 64, 32)",relu,adam,0.87,27.0,65.0
9,type,resampling,ADASYN,robust,0.001,0.001,16,"(128, 64, 32)",relu,adam,0.89,35.0,65.0
10,type,resampling,SMOTETomek,power,0.001,0.001,16,"(128, 64, 32)",relu,adam,0.88,31.0,70.0
11,type,resampling,SMOTETomek,robust,0.001,0.001,16,"(128, 64, 32)",relu,adam,0.8300000000000001,21.0,69.0
12,air_temperature_k,resampling,SMOTE,power,0.001,0.001,16,"(128, 64, 32)",relu,adam,0.89,32.0,61.0
13,air_temperature_k,resampling,SMOTE,robust,0.001,0.001,16,"(128, 64, 32)",relu,adam,0.77,18.0,67.0
14,air_temperature_k,resampling,ADASYN,power,0.001,0.001,16,"(128, 64, 32)",relu,adam,0.89,33.0,70.0
15,air_temperature_k,resampling,ADASYN,robust,0.001,0.001,16,"(128, 64, 32)",relu,adam,0.89,28.0,65.0
16,air_temperature_k,resampling,SMOTETomek,power,0.001,0.001,16,"(128, 64, 32)",relu,adam,0.89,35.0,66.0
17,air_temperature_k,resampling,SMOTETomek,robust,0.001,0.001,16,"(128, 64, 32)",relu,adam,0.86,23.0,66.0
18,process_temperature_k,resampling,SMOTE,power,0.001,0.001,16,"(128, 64, 32)",relu,adam,0.87,30.0,77.0
19,process_temperature_k,resampling,SMOTE,robust,0.001,0.001,16,"(128, 64, 32)",relu,adam,0.89,34.0,68.0
20,process_temperature_k,resampling,ADASYN,power,0.001,0.001,16,"(128, 64, 32)",relu,adam,0.88,20.0,70.0
21,process_temperature_k,resampling,ADASYN,robust,0.001,0.001,16,"(128, 64, 32)",relu,adam,0.87,16.0,68.0
22,process_temperature_k,resampling,SMOTETomek,power,0.001,0.001,16,"(128, 64, 32)",relu,adam,0.87,43.0,75.0
23,process_temperature_k,resampling,SMOTETomek,robust,0.001,0.001,16,"(128, 64, 32)",relu,adam,0.85,34.0,66.0
24,rotational_speed_rpm,resampling,SMOTE,power,0.001,0.001,16,"(128, 64, 32)",relu,adam,0.87,30.0,77.0
25,rotational_speed_rpm,resampling,SMOTE,robust,0.001,0.001,16,"(128, 64, 32)",relu,adam,0.89,34.0,68.0
26,rotational_speed_rpm,resampling,ADASYN,power,0.001,0.001,16,"(128, 64, 32)",relu,adam,0.88,20.0,70.0
27,rotational_speed_rpm,resampling,ADASYN,robust,0.001,0.001,16,"(128, 64, 32)",relu,adam,0.87,16.0,68.0
28,rotational_speed_rpm,resampling,SMOTETomek,power,0.001,0.001,16,"(128, 64, 32)",relu,adam,0.87,41.0,75.0
29,rotational_speed_rpm,resampling,SMOTETomek,robust,0.001,0.001,16,"(128, 64, 32)",relu,adam,0.85,33.0,66.0
30,torque_nm,resampling,SMOTE,power,0.001,0.001,16,"(128, 64, 32)",relu,adam,0.88,24.0,66.0
31,torque_nm,resampling,SMOTE,robust,0.001,0.001,16,"(128, 64, 32)",relu,adam,0.89,34.0,63.0
32,torque_nm,resampling,ADASYN,power,0.001,0.001,16,"(128, 64, 32)",relu,adam,0.89,18.0,64.0
33,torque_nm,resampling,ADASYN,robust,0.001,0.001,16,"(128, 64, 32)",relu,adam,0.89,29.0,65.0
